iter	Passed	Remaining
0	171	171373
1	240	119788
2	295	98152
3	402	100325
4	494	98459
5	587	97299
6	678	96233
7	775	96189
8	813	89579
9	903	89437
10	993	89312
11	1050	86525
12	1122	85210
13	1222	86115
14	1325	87059
15	1392	85645
16	1494	86415
17	1591	86836
18	1688	87202
19	1727	84668
20	1824	85062
21	1917	85242
22	2010	85401
23	2130	86633
24	2228	86913
25	2335	87474
26	2376	85625
27	2475	85947
28	2573	86172
29	2669	86318
30	2749	85953
31	2848	86179
32	2948	86398
33	3047	86589
34	3145	86728
35	3255	87181
36	3355	87345
37	3462	87653
38	3561	87770
39	3657	87790
40	3747	87643
41	3845	87703
42	3943	87768
43	4038	87741
44	4129	87633
45	4228	87686
46	4334	87881
47	4439	88048
48	4543	88183
49	4641	88185
50	4683	87144
51	4783	87215
52	4882	87235
53	4982	87292
54	5076	87226
55	5173	87214
56	5268	87168
57	5364	87132
58	5464	87148
59	5562	87139
60	5667	87244
61	5762	87183
62	5785	86042
63	5881	86014
64	5980	86032
65	6021	85208
66	6124	85279
67	6221	85277
68	6315	85207
69	6414	85219
70	6472	84693
71	6569	84672
72	6683	84865
73	6776	84802
74	6871	84750
75	6968	84716
76	7064	84678
77	7167	84718
78	7267	84731
79	7368	84737
80	7462	84662
81	7562	84657
82	7659	84627
83	7754	84556
84	7851	84522
85	7946	84454
86	8040	84378
87	8146	84428
88	8246	84410
89	8346	84396
90	8442	84329
91	8538	84274
92	8632	84191
93	8729	84140
94	8825	84077
95	8883	83648
96	8975	83552
97	9039	83202
98	9100	82824
99	9141	82275
100	9244	82287
101	9325	82096
102	9364	81553
103	9478	81661
104	9578	81646
105	9667	81535
106	9771	81550
107	9872	81541
108	9973	81526
109	10074	81511
110	10171	81461
111	10280	81511
112	10385	81522
113	10479	81443
114	10573	81372
115	10674	81349
116	10789	81429
117	10890	81400
118	10991	81375
119	11089	81326
120	11194	81319
121	11300	81324
122	11402	81297
123	11506	81285
124	11606	81248
125	11629	80668
126	11727	80614
127	11832	80609
128	11855	80048
129	11960	80041
130	12064	80028
131	12163	79983
132	12264	79953
133	12365	79913
134	12468	79890
135	12569	79855
136	12669	79807
137	12769	79760
138	12879	79776
139	12923	79389
140	13026	79361
141	13131	79346
142	13229	79284
143	13270	78885
144	13372	78852
145	13472	78803
146	13513	78414
147	13624	78434
148	13725	78393
149	13827	78356
150	13869	77983
151	13968	77928
152	14081	77955
153	14182	77909
154	14282	77865
155	14391	77861
156	14494	77825
157	14592	77762
158	14689	77699
159	14797	77685
160	14898	77636
161	15013	77660
162	15116	77623
163	15224	77608
164	15326	77560
165	15427	77509
166	15556	77595
167	15665	77583
168	15776	77573
169	15885	77558
170	15992	77530
171	16092	77470
172	16199	77437
173	16306	77407
174	16415	77385
175	16515	77322
176	16623	77295
177	16725	77239
178	16832	77204
179	16930	77125
180	17031	77063
181	17116	76929
182	17139	76521
183	17248	76494
184	17352	76443
185	17453	76381
186	17555	76322
187	17656	76261
188	17772	76261
189	17887	76257
190	17989	76197
191	18091	76135
192	18190	76061
193	18294	76006
194	18397	75950
195	18502	75899
196	18618	75892
197	18711	75792
198	18814	75729
199	18913	75652
200	19020	75607
201	19126	75560
202	19235	75519
203	19339	75462
204	19439	75387
205	19544	75331
206	19649	75274
207	19750	75202
208	19849	75122
209	19948	75045
210	20059	75007
211	20169	74968
212	20270	74897
213	20373	74831
214	20475	74758
215	20579	74695
216	20677	74609
217	20777	74532
218	20879	74459
219	20989	74418
220	21107	74399
221	21205	74313
222	21312	74259
223	21412	74180
224	21528	74152
225	21636	74098
226	21733	74007
227	21829	73915
228	21938	73863
229	22043	73797
230	22146	73725
231	22222	73562
232	22328	73500
233	22421	73396
